[01:04:03] INFO > #FleepRust FLEEK: Opened the menu
[01:46:19] INFO > FleepRust | Санька: Opened the menu
[01:46:24] INFO > FleepRust | Санька: Opened the menu
[01:46:25] INFO > FleepRust | Санька: Opened the menu
[01:46:36] INFO > FleepRust | Санька: Viewed backpack of 76561199215982553
[01:46:38] INFO > FleepRust | Санька: Opened the menu
[01:46:39] INFO > FleepRust | Санька: Opened the menu
[01:46:41] INFO > FleepRust | Санька: Opened the menu
[01:51:19] INFO > FleepRust | Санька: Opened the menu
[01:51:24] INFO > FleepRust | Санька: Viewed backpack of 76561199215982553
[02:41:27] INFO > FleepRust | Санька: Opened the menu
[02:41:36] INFO > FleepRust | Санька: Teleported to user ID 76561199048469123
[02:42:31] INFO > FleepRust | Санька: Opened the menu
[02:42:38] INFO > FleepRust | Санька: Viewed backpack of 76561199215982553
[02:42:39] INFO > FleepRust | Санька: Opened the menu
[02:42:42] INFO > FleepRust | Санька: Opened the menu
[02:42:47] INFO > FleepRust | Санька: Opened the menu
[02:42:57] INFO > FleepRust | Санька: Opened the menu
[02:43:14] INFO > FleepRust | Санька: Started spectating user ID 76561199215982553
[02:43:33] INFO > FleepRust | Санька: Opened the menu
[02:43:38] INFO > FleepRust | Санька: Started spectating user ID 76561199215982553
[02:43:39] INFO > #FleepRust FLEEK: Teleported to admin FleepRust | Санька
[02:44:03] INFO > FleepRust | Санька: Opened the menu
[02:44:12] INFO > FleepRust | Санька: Started spectating user ID 76561199215982553
[02:57:01] INFO > FleepRust | Санька: Opened the menu
[02:57:17] INFO > FleepRust | Санька: Healed user ID 76561199215982553 for 25 points
[11:02:58] INFO > *Fashist*: Opened the menu
