[01:12:05] ERROR > #FleepRust FLEEK: Tried to execute a command requiring the '' permission
[01:14:12] ERROR > #FleepRust FLEEK: Tried to execute a command requiring the '' permission
[04:52:57] INFO > #FleepRust FLEEK: Opened the menu
[09:39:00] INFO > FleepRust | Санька: Opened the menu
[09:39:07] INFO > FleepRust | Санька: Teleported to user ID 76561199215982553
[09:39:07] INFO > FleepRust | Санька: Opened the menu
[09:45:19] INFO > FleepRust | Санька: Opened the menu
[09:45:24] INFO > FleepRust | Санька: Opened the menu
[09:45:29] INFO > FleepRust | Санька: Teleported to user ID 76561198071938274
[09:45:42] INFO > FleepRust | Санька: Opened the menu
[09:45:46] INFO > FleepRust | Санька: Teleported to user ID 76561199187318279
[09:49:52] INFO > FleepRust | Санька: Opened the menu
[09:49:57] INFO > FleepRust | Санька: Teleported to user ID 76561199187318279
[10:01:32] INFO > FleepRust | Санька: Opened the menu
[10:01:38] INFO > FleepRust | Санька: Opened the menu
[10:01:42] INFO > FleepRust | Санька: Teleported to user ID 76561199157471082
[10:03:37] INFO > FleepRust | Санька: Opened the menu
[10:03:40] INFO > FleepRust | Санька: Teleported to user ID 76561199197136877
[10:05:09] INFO > FleepRust | Санька: Opened the menu
[10:05:14] INFO > FleepRust | Санька: Teleported to user ID 76561199215575160
[10:05:51] INFO > FleepRust | Санька: Opened the menu
[10:05:59] INFO > FleepRust | Санька: Teleported to user ID 76561199174327403
[10:06:19] INFO > FleepRust | Санька: Opened the menu
[10:06:25] INFO > FleepRust | Санька: Teleported to user ID 76561198071938274
[10:07:04] INFO > FleepRust | Санька: Opened the menu
[10:07:11] INFO > FleepRust | Санька: Teleported to user ID 76561199187318279
[10:08:06] INFO > FleepRust | Санька: Opened the menu
[10:08:10] INFO > FleepRust | Санька: Teleported to user ID 76561199196292776
[10:15:24] INFO > FleepRust | Санька: Opened the menu
[10:15:28] INFO > FleepRust | Санька: Viewed backpack of 76561199187318279
[10:15:34] INFO > FleepRust | Санька: Opened the menu
[10:17:10] INFO > FleepRust | Санька: Opened the menu
[10:17:14] INFO > FleepRust | Санька: Viewed backpack of 76561199187318279
[10:18:55] INFO > FleepRust | Санька: Opened the menu
[10:18:59] INFO > FleepRust | Санька: Teleported to user ID 76561199187318279
[10:30:18] INFO > FleepRust | Санька: Opened the menu
[10:30:22] INFO > FleepRust | Санька: Teleported to user ID 76561199215982553
[10:30:22] INFO > FleepRust | Санька: Opened the menu
[10:33:35] INFO > FleepRust | Санька: Opened the menu
[10:33:39] INFO > FleepRust | Санька: Teleported to user ID 76561199187318279
[10:33:39] INFO > FleepRust | Санька: Opened the menu
[10:35:36] INFO > FleepRust | Санька: Opened the menu
[10:35:39] INFO > FleepRust | Санька: Teleported to user ID 76561199187318279
[10:35:54] INFO > FleepRust | Санька: Opened the menu
[11:23:06] INFO > FleepRust | Санька: Opened the menu
[11:23:13] INFO > FleepRust | Санька: Teleported to user ID 76561199187318279
[11:27:52] INFO > FleepRust | Санька: Opened the menu
[11:27:57] INFO > FleepRust | Санька: Teleported to user ID 76561199215575160
[11:27:58] INFO > FleepRust | Санька: Opened the menu
[11:28:17] INFO > FleepRust | Санька: Opened the menu
[11:32:10] INFO > FleepRust | Санька: Opened the menu
[11:34:31] INFO > FleepRust | Санька: Opened the menu
[11:35:46] INFO > FleepRust | Санька: Opened the menu
[11:35:49] INFO > FleepRust | Санька: Opened the menu
[11:37:01] INFO > FleepRust | Санька: Opened the menu
[11:40:52] INFO > FleepRust | Санька: Opened the menu
[11:40:55] INFO > FleepRust | Санька: Cleared the inventory of user ID 76561199215575160
[11:40:56] INFO > FleepRust | Санька: Teleported to user ID 76561199215575160
[11:41:00] INFO > FleepRust | Санька: Opened the menu
