[08/28/2024 00:00:03] Статус не отправлен(о). Ошибка: {"error":{"error_code":9,"error_msg":"Flood control: too much captcha requests","request_params":[{"key":"group_id","value":"211180806"},{"key":"text","value":"| №15 Сервер вайпнут: 26.08.2022 | Онлайн игроков: 0 | Спящих: 3 |"},{"key":"v","value":"5.92"},{"key":"method","value":"status.set"},{"key":"oauth","value":"1"}]}}
[08/28/2024 00:01:03] Статус не отправлен(о). Ошибка: {"error":{"error_code":9,"error_msg":"Flood control: too much captcha requests","request_params":[{"key":"group_id","value":"211180806"},{"key":"text","value":"| №15 Сервер вайпнут: 26.08.2022 | Онлайн игроков: 0 | Спящих: 3 |"},{"key":"v","value":"5.92"},{"key":"method","value":"status.set"},{"key":"oauth","value":"1"}]}}
[08/28/2024 00:02:08] Статус не отправлен(о). Ошибка: {"error":{"error_code":9,"error_msg":"Flood control: too much captcha requests","request_params":[{"key":"group_id","value":"211180806"},{"key":"text","value":"| №15 Сервер вайпнут: 26.08.2022 | Онлайн игроков: 0 | Спящих: 3 |"},{"key":"v","value":"5.92"},{"key":"method","value":"status.set"},{"key":"oauth","value":"1"}]}}
[08/28/2024 00:03:08] Статус не отправлен(о). Ошибка: {"error":{"error_code":9,"error_msg":"Flood control: too much captcha requests","request_params":[{"key":"group_id","value":"211180806"},{"key":"text","value":"| №15 Сервер вайпнут: 26.08.2022 | Онлайн игроков: 0 | Спящих: 3 |"},{"key":"v","value":"5.92"},{"key":"method","value":"status.set"},{"key":"oauth","value":"1"}]}}
[08/28/2024 00:04:08] Статус не отправлен(о). Ошибка: {"error":{"error_code":9,"error_msg":"Flood control: too much captcha requests","request_params":[{"key":"group_id","value":"211180806"},{"key":"text","value":"| №15 Сервер вайпнут: 26.08.2022 | Онлайн игроков: 0 | Спящих: 3 |"},{"key":"v","value":"5.92"},{"key":"method","value":"status.set"},{"key":"oauth","value":"1"}]}}
[08/28/2024 00:05:08] Статус не отправлен(о). Ошибка: {"error":{"error_code":9,"error_msg":"Flood control: too much captcha requests","request_params":[{"key":"group_id","value":"211180806"},{"key":"text","value":"| №15 Сервер вайпнут: 26.08.2022 | Онлайн игроков: 0 | Спящих: 3 |"},{"key":"v","value":"5.92"},{"key":"method","value":"status.set"},{"key":"oauth","value":"1"}]}}
[08/28/2024 00:06:03] Статус не отправлен(о). Ошибка: {"error":{"error_code":9,"error_msg":"Flood control: too much captcha requests","request_params":[{"key":"group_id","value":"211180806"},{"key":"text","value":"| №15 Сервер вайпнут: 26.08.2022 | Онлайн игроков: 0 | Спящих: 3 |"},{"key":"v","value":"5.92"},{"key":"method","value":"status.set"},{"key":"oauth","value":"1"}]}}
[08/28/2024 00:07:08] Статус не отправлен(о). Ошибка: {"error":{"error_code":9,"error_msg":"Flood control: too much captcha requests","request_params":[{"key":"group_id","value":"211180806"},{"key":"text","value":"| №15 Сервер вайпнут: 26.08.2022 | Онлайн игроков: 0 | Спящих: 3 |"},{"key":"v","value":"5.92"},{"key":"method","value":"status.set"},{"key":"oauth","value":"1"}]}}
[08/28/2024 00:08:03] Статус не отправлен(о). Ошибка: {"error":{"error_code":9,"error_msg":"Flood control: too much captcha requests","request_params":[{"key":"group_id","value":"211180806"},{"key":"text","value":"| №15 Сервер вайпнут: 26.08.2022 | Онлайн игроков: 0 | Спящих: 3 |"},{"key":"v","value":"5.92"},{"key":"method","value":"status.set"},{"key":"oauth","value":"1"}]}}
[08/28/2024 00:09:03] Статус не отправлен(о). Ошибка: {"error":{"error_code":9,"error_msg":"Flood control: too much captcha requests","request_params":[{"key":"group_id","value":"211180806"},{"key":"text","value":"| №15 Сервер вайпнут: 26.08.2022 | Онлайн игроков: 0 | Спящих: 3 |"},{"key":"v","value":"5.92"},{"key":"method","value":"status.set"},{"key":"oauth","value":"1"}]}}
[08/28/2024 00:10:03] Статус не отправлен(о). Ошибка: {"error":{"error_code":9,"error_msg":"Flood control: too much captcha requests","request_params":[{"key":"group_id","value":"211180806"},{"key":"text","value":"| №15 Сервер вайпнут: 26.08.2022 | Онлайн игроков: 0 | Спящих: 3 |"},{"key":"v","value":"5.92"},{"key":"method","value":"status.set"},{"key":"oauth","value":"1"}]}}
[08/28/2024 00:11:03] Статус не отправлен(о). Ошибка: {"error":{"error_code":9,"error_msg":"Flood control: too much captcha requests","request_params":[{"key":"group_id","value":"211180806"},{"key":"text","value":"| №15 Сервер вайпнут: 26.08.2022 | Онлайн игроков: 0 | Спящих: 3 |"},{"key":"v","value":"5.92"},{"key":"method","value":"status.set"},{"key":"oauth","value":"1"}]}}
[08/28/2024 00:12:08] Статус не отправлен(о). Ошибка: {"error":{"error_code":9,"error_msg":"Flood control: too much captcha requests","request_params":[{"key":"group_id","value":"211180806"},{"key":"text","value":"| №15 Сервер вайпнут: 26.08.2022 | Онлайн игроков: 0 | Спящих: 3 |"},{"key":"v","value":"5.92"},{"key":"method","value":"status.set"},{"key":"oauth","value":"1"}]}}
[08/28/2024 00:13:03] Статус не отправлен(о). Ошибка: {"error":{"error_code":9,"error_msg":"Flood control: too much captcha requests","request_params":[{"key":"group_id","value":"211180806"},{"key":"text","value":"| №15 Сервер вайпнут: 26.08.2022 | Онлайн игроков: 0 | Спящих: 3 |"},{"key":"v","value":"5.92"},{"key":"method","value":"status.set"},{"key":"oauth","value":"1"}]}}
[08/28/2024 00:14:08] Статус не отправлен(о). Ошибка: {"error":{"error_code":9,"error_msg":"Flood control: too much captcha requests","request_params":[{"key":"group_id","value":"211180806"},{"key":"text","value":"| №15 Сервер вайпнут: 26.08.2022 | Онлайн игроков: 0 | Спящих: 3 |"},{"key":"v","value":"5.92"},{"key":"method","value":"status.set"},{"key":"oauth","value":"1"}]}}
[08/28/2024 00:15:08] Статус не отправлен(о). Ошибка: {"error":{"error_code":9,"error_msg":"Flood control: too much captcha requests","request_params":[{"key":"group_id","value":"211180806"},{"key":"text","value":"| №15 Сервер вайпнут: 26.08.2022 | Онлайн игроков: 0 | Спящих: 3 |"},{"key":"v","value":"5.92"},{"key":"method","value":"status.set"},{"key":"oauth","value":"1"}]}}
[08/28/2024 00:16:08] Статус не отправлен(о). Ошибка: {"error":{"error_code":9,"error_msg":"Flood control: too much captcha requests","request_params":[{"key":"group_id","value":"211180806"},{"key":"text","value":"| №15 Сервер вайпнут: 26.08.2022 | Онлайн игроков: 0 | Спящих: 3 |"},{"key":"v","value":"5.92"},{"key":"method","value":"status.set"},{"key":"oauth","value":"1"}]}}
[08/28/2024 00:17:03] Статус не отправлен(о). Ошибка: {"error":{"error_code":9,"error_msg":"Flood control: too much captcha requests","request_params":[{"key":"group_id","value":"211180806"},{"key":"text","value":"| №15 Сервер вайпнут: 26.08.2022 | Онлайн игроков: 0 | Спящих: 3 |"},{"key":"v","value":"5.92"},{"key":"method","value":"status.set"},{"key":"oauth","value":"1"}]}}
